"IMD_QUINTILE","YEAR","Payment Category","Total (£)","PayCat_base","group_total","pct","label_text"
"4",2024,"PCNPARTICIPATION Avg (Weighted)",1.74284508126694,"PCNPARTICIPATION Avg",171.901024019239,0.0101386544449664,"1% (1.7)"
"4",2024,"ACCESSANDTRANSFORMATION Avg (Weighted)",0.958204208919176,"ACCESSANDTRANSFORMATION Avg",171.901024019239,0.00557416230872442,"1% (1.0)"
"5",2024,"Global_Sum Avg (Weighted)",108.044198964388,"Global_Sum Avg",171.375246305068,0.63045393832466,"63% (108.0)"
"5",2024,"IT_Premises Avg (Weighted)",13.7167986785582,"IT_Premises Avg",171.375246305068,0.0800395563204079,"8% (13.7)"
"5",2024,"Other_And_PCOAdmin Avg (Weighted)",8.9725080478993,"Other_And_PCOAdmin Avg",171.375246305068,0.0523559162793395,"5% (9.0)"
"5",2024,"Directed_Enhanced_Services Avg (Weighted)",4.46153136492165,"Directed_Enhanced_Services Avg",171.375246305068,0.0260336977545731,"3% (4.5)"
"5",2024,"Local_Incentive_Schemes Avg (Weighted)",9.8843484347228,"Local_Incentive_Schemes Avg",171.375246305068,0.0576766402840205,"6% (9.9)"
"5",2024,"Prescribing Avg (Weighted)",-0.335635846045417,"Prescribing Avg",171.375246305068,-0.00195848498124372,"0% (-0.3)"
"5",2024,"Dispensing Avg (Weighted)",5.21877309281601,"Dispensing Avg",171.375246305068,0.0304523156367985,"3% (5.2)"
"5",2024,"DrugReinbursement Avg (Weighted)",19.1045250623841,"DrugReinbursement Avg",171.375246305068,0.11147773948856,"11% (19.1)"
"5",2024,"QOF Avg (Weighted)",15.0427975619073,"QOF Avg",171.375246305068,0.087776956627268,"9% (15.0)"
"5",2024,"Deductions Avg (Weighted)",-15.3596751835567,"Deductions Avg",171.375246305068,-0.089625984584814,"-9% (-15.4)"
"5",2024,"PCNPARTICIPATION Avg (Weighted)",1.73982210057266,"PCNPARTICIPATION Avg",171.375246305068,0.0101521202045456,"1% (1.7)"
"5",2024,"ACCESSANDTRANSFORMATION Avg (Weighted)",0.885254026499215,"ACCESSANDTRANSFORMATION Avg",171.375246305068,0.00516558864588508,"1% (0.9)"
